collectedBy,organization,type,university,city,state,latitude,longitude,totalMembers,paddles(y/n),website,instagram
Carlo,Alpha Kappa Delta Phi,Sorority,University of Houston,Houston,TX,29.7199,-95.3422,419,y,http://www.akdphi.org/chapters,https://www.instagram.com/p/BbFbhlkgRBJ/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of Illinois at Urbana-Champaign,Naperville,IL,40.102,-88.2272,164,y,https://www.uiucakdphi.org/,https://www.instagram.com/uiucakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of Illinois at Chicago,Chicago,IL,41.8698,-87.6496,179,n,https://uicakdphi.wixsite.com/uicakdphi,https://www.instagram.com/uicakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,"University of Maryland, College Park",College Park,MD,38.9869,-76.9426,96,n,0,0
Carlo,Alpha Kappa Delta Phi,Sorority,Northern Illinois University,DeKalb,IL,41.9342,-88.7741,34,n,https://www.niuakdphi.org/,https://www.instagram.com/niuakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,San Francisco State University,San Francisco,CA,37.7241,-122.4799,22,y,https://sfsuakdphiwebmistr.wixsite.com/sfsuakdphi,https://www.instagram.com/sfsu_akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Carnegie Mellon University,Pittsburgh,PA,40.4427,-79.943,0,n,0,https://www.instagram.com/cmu_akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Syracuse University,Syracuse,NY,43.0392,-76.1351,0,n,0,https://www.instagram.com/akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,"University of Maryland, Baltimore County",Baltimore,MD,39.2557,-76.711,96,n,https://www.umbcakdphi.com/,https://www.instagram.com/umbcakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,St John's University Queens Campus,Queens,NY,40.7221,-73.7942,72,n,https://sjuakdphi.wixsite.com/sjuakdphi,https://www.instagram.com/sjuakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,California State University San Marcos,San Marcos,CA,33.1295,-117.1596,65,n,http://www.akdphicsusm.com/,https://www.instagram.com/csusmakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,Virginia Polytechnic Institute and State University,Blacksburg,VA,37.2284,-80.4234,103,y,http://www.akdphi.org.vt.edu/,0
Carlo,Alpha Kappa Delta Phi,Sorority,George Mason University,Fairfax,VA,38.8298,-77.3074,32,y,https://gmuakdphi.wixsite.com/home,https://www.instagram.com/gmuakdphi/?hl=en
